549.0,0,12,8,495,22
730.0,1,64,10,572,26
1058.0,1,122,33,618,55
1423.0,20,154,47,698,100
2714.0,57,213,71,1590,173
3554.0,84,324,101,1905,274
4903.0,123,496,151,2261,399
5806.0,189,573,221,2639,541
7153.0,227,726,287,3215,628
9074.0,278,1002,333,4109,749
11177.0,306,1246,499,5142,918
13522.0,332,1422,613,6384,1120
16678.0,382,1645,713,8351,1462
19665.0,423,1807,801,10117,1886
22112.0,471,1897,885,11618,2141
24953.0,569,2041,941,13603,2313
27100.0,639,2141,997,14982,2436
29631.0,725,2252,1045,16902,2541
31728.0,790,2332,1075,18454,2642
33366.0,861,2398,1110,19558,2751
48206.0,1065,2662,1431,32994,2874
51986.0,1125,2791,1447,35991,3009
54406.0,1192,2817,1478,37914,3114
56249.0,1230,2823,1490,39462,3201
58182.0,1274,2831,1501,41152,3279
59989.0,1339,2828,1537,42752,3320
61682.0,1343,2844,1541,44412,3344
62031.0,1338,2839,1510,45027,3329
62662.0,1343,2856,1517,45346,3346
63454.0,1375,2899,1566,45660,3429
64084.0,1379,2904,1574,46201,3443
64287.0,1383,2904,1574,46607,3465
64786.0,1385,2904,1576,47071,3482
65187.0,1387,2904,1577,47441,3501
