2.0,4.0,317.0
2.0,8.0,594.0
3.0,7.0,961.0
6.0,12.0,1415.0
7.0,21.0,1887.0
8.0,32.0,2513.0
9.0,51.0,3219.0
9.0,82.0,3976.0
11.0,107.0,4688.0
11.0,175.0,5384.0
11.0,228.0,6130.0
11.0,321.0,6970.0
13.0,487.0,7680.0
14.0,659.0,8422.0
18.0,881.0,9082.0
25.0,1159.0,9649.0
32.0,1417.0,10113.0
37.0,1692.0,10546.0
42.0,1984.0,10883.0
47.0,2381.0,11322.0
57.0,2760.0,11620.0
61.0,3135.0,11771.0
66.0,3666.0,12090.0
69.0,4041.0,12170.0
75.0,4571.0,12354.0
81.0,5052.0,12449.0
85.0,5591.0,12505.0
90.0,6179.0,12529.0
92.0,6792.0,12804.0
93.0,7228.0,12656.0
96.0,7829.0,12852.0
96.0,8109.0,12698.0
96.0,8498.0,12613.0
93.0,8761.0,12452.0
