24.0,31.0,549.0
39.0,32.0,730.0
52.0,42.0,1058.0
76.0,47.0,1423.0
100.0,52.0,2714.0
125.0,87.0,3554.0
162.0,90.0,4903.0
204.0,141.0,5806.0
249.0,168.0,7153.0
294.0,267.0,9074.0
350.0,300.0,11177.0
414.0,398.0,13522.0
479.0,537.0,16678.0
549.0,712.0,19665.0
618.0,867.0,22112.0
699.0,1218.0,24953.0
780.0,1480.0,27100.0
871.0,1854.0,29631.0
974.0,2310.0,31728.0
1068.0,2686.0,33366.0
1310.0,3459.0,48206.0
1426.0,4131.0,51986.0
1457.0,4821.0,54406.0
1596.0,5666.0,56249.0
1696.0,6693.0,58182.0
1789.0,7943.0,59989.0
1921.0,9336.0,61682.0
2029.0,10521.0,62031.0
2144.0,11881.0,62662.0
2250.0,13690.0,63454.0
2346.0,15343.0,64084.0
2495.0,16748.0,64287.0
2563.0,18971.0,64786.0
2615.0,20957.0,65187.0
