,新增死亡,新增治愈,新增确诊,日期,省,省死亡,省治愈,省确诊
0,1.0,9.0,1.0,2020-02-20,浙江省,1.0,613.0,1175.0
383,0.0,69.0,2.0,2020-02-19,浙江省,0.0,604.0,1174.0
810,0.0,28.0,1.0,2020-02-18,浙江省,0.0,535.0,1172.0
1238,0.0,51.0,4.0,2020-02-17,浙江省,0.0,507.0,1171.0
1663,0.0,28.0,5.0,2020-02-16,浙江省,0.0,456.0,1167.0
2078,0.0,25.0,7.0,2020-02-15,浙江省,0.0,428.0,1162.0
2504,0.0,43.0,10.0,2020-02-14,浙江省,0.0,403.0,1155.0
2914,0.0,39.0,14.0,2020-02-13,浙江省,0.0,360.0,1145.0
3341,0.0,51.0,14.0,2020-02-12,浙江省,0.0,321.0,1131.0
3768,0.0,28.0,25.0,2020-02-11,浙江省,0.0,270.0,1117.0
4183,0.0,41.0,17.0,2020-02-10,浙江省,0.0,242.0,1092.0
4603,0.0,26.0,27.0,2020-02-09,浙江省,0.0,201.0,1075.0
5021,0.0,52.0,42.0,2020-02-08,浙江省,0.0,175.0,1048.0
5450,0.0,29.0,52.0,2020-02-07,浙江省,0.0,123.0,1006.0
5871,0.0,16.0,59.0,2020-02-06,浙江省,0.0,94.0,954.0
6294,0.0,16.0,66.0,2020-02-05,浙江省,0.0,78.0,895.0
6697,0.0,19.0,105.0,2020-02-04,浙江省,0.0,62.0,829.0
7103,-1.0,11.0,63.0,2020-02-03,浙江省,0.0,43.0,724.0
7508,1.0,11.0,62.0,2020-02-02,浙江省,1.0,32.0,661.0
7908,0.0,7.0,61.0,2020-02-01,浙江省,0.0,21.0,599.0
8303,0.0,10.0,110.0,2020-01-31,浙江省,0.0,14.0,538.0
8713,0.0,1.0,132.0,2020-01-30,浙江省,0.0,4.0,428.0
9076,0.0,0.0,123.0,2020-01-29,浙江省,0.0,3.0,296.0
9430,0.0,2.0,45.0,2020-01-28,浙江省,0.0,3.0,173.0
9776,0.0,0.0,24.0,2020-01-27,浙江省,0.0,1.0,128.0
10094,0.0,0.0,42.0,2020-01-26,浙江省,0.0,1.0,104.0
10354,0.0,0.0,19.0,2020-01-25,浙江省,0.0,1.0,62.0
10568,0.0,1.0,43.0,2020-01-24,浙江省,0.0,1.0,43.0
11,108.0,1017.0,349.0,2020-02-20,湖北省,2029.0,10353.0,62031.0
394,132.0,1393.0,1693.0,2020-02-19,湖北省,1921.0,9336.0,61682.0
821,93.0,1250.0,1807.0,2020-02-18,湖北省,1789.0,7943.0,59989.0
1249,100.0,1027.0,1933.0,2020-02-17,湖北省,1696.0,6693.0,58182.0
1674,139.0,845.0,1843.0,2020-02-16,湖北省,1596.0,5666.0,56249.0
2089,31.0,690.0,2420.0,2020-02-15,湖北省,1457.0,4821.0,54406.0
2515,116.0,672.0,3780.0,2020-02-14,湖北省,1426.0,4131.0,51986.0
2925,242.0,773.0,14840.0,2020-02-13,湖北省,1310.0,3459.0,48206.0
3352,94.0,376.0,1638.0,2020-02-12,湖北省,1068.0,2686.0,33366.0
3779,103.0,456.0,2097.0,2020-02-11,湖北省,974.0,2310.0,31728.0
4194,91.0,374.0,2531.0,2020-02-10,湖北省,871.0,1854.0,29631.0
4614,81.0,262.0,2147.0,2020-02-09,湖北省,780.0,1480.0,27100.0
5033,81.0,351.0,2841.0,2020-02-08,湖北省,699.0,1218.0,24953.0
5462,69.0,155.0,2447.0,2020-02-07,湖北省,618.0,867.0,22112.0
5882,70.0,175.0,2987.0,2020-02-06,湖北省,549.0,712.0,19665.0
6305,65.0,139.0,3156.0,2020-02-05,湖北省,479.0,537.0,16678.0
6708,64.0,98.0,2345.0,2020-02-04,湖北省,414.0,398.0,13522.0
7114,56.0,33.0,2103.0,2020-02-03,湖北省,350.0,300.0,11177.0
7519,45.0,99.0,1921.0,2020-02-02,湖北省,294.0,267.0,9074.0
7919,45.0,27.0,1347.0,2020-02-01,湖北省,249.0,168.0,7153.0
8314,42.0,51.0,903.0,2020-01-31,湖北省,204.0,141.0,5806.0
8724,37.0,3.0,1349.0,2020-01-30,湖北省,162.0,90.0,4903.0
9087,25.0,35.0,840.0,2020-01-29,湖北省,125.0,87.0,3554.0
9441,24.0,5.0,1291.0,2020-01-28,湖北省,100.0,52.0,2714.0
9787,24.0,5.0,365.0,2020-01-27,湖北省,76.0,47.0,1423.0
10105,13.0,10.0,328.0,2020-01-26,湖北省,52.0,42.0,1058.0
10363,15.0,1.0,181.0,2020-01-25,湖北省,39.0,32.0,730.0
10577,24.0,31.0,549.0,2020-01-24,湖北省,24.0,31.0,549.0
28,0.0,37.0,1.0,2020-02-20,安徽省,6.0,450.0,987.0
412,0.0,52.0,4.0,2020-02-19,安徽省,6.0,413.0,986.0
838,0.0,81.0,9.0,2020-02-18,安徽省,6.0,361.0,982.0
1266,0.0,25.0,11.0,2020-02-17,安徽省,6.0,280.0,973.0
1691,0.0,34.0,12.0,2020-02-16,安徽省,6.0,255.0,962.0
2106,0.0,28.0,16.0,2020-02-15,安徽省,6.0,221.0,950.0
2532,1.0,31.0,24.0,2020-02-14,安徽省,6.0,193.0,934.0
2942,1.0,35.0,21.0,2020-02-13,安徽省,5.0,162.0,910.0
3369,0.0,22.0,29.0,2020-02-12,安徽省,4.0,127.0,889.0
3796,1.0,17.0,30.0,2020-02-11,安徽省,4.0,105.0,860.0
4211,2.0,16.0,51.0,2020-02-10,安徽省,3.0,88.0,830.0
4631,1.0,13.0,46.0,2020-02-09,安徽省,1.0,72.0,779.0
5050,0.0,12.0,68.0,2020-02-08,安徽省,0.0,59.0,733.0
5479,0.0,13.0,74.0,2020-02-07,安徽省,0.0,47.0,665.0
5900,0.0,11.0,61.0,2020-02-06,安徽省,0.0,34.0,591.0
6322,0.0,3.0,50.0,2020-02-05,安徽省,0.0,23.0,530.0
6725,0.0,6.0,72.0,2020-02-04,安徽省,0.0,20.0,480.0
7131,0.0,7.0,68.0,2020-02-03,安徽省,0.0,14.0,408.0
7537,0.0,2.0,43.0,2020-02-02,安徽省,0.0,7.0,340.0
7936,0.0,2.0,60.0,2020-02-01,安徽省,0.0,5.0,297.0
8331,0.0,1.0,37.0,2020-01-31,安徽省,0.0,3.0,237.0
8742,0.0,0.0,45.0,2020-01-30,安徽省,0.0,2.0,200.0
9104,0.0,2.0,49.0,2020-01-29,安徽省,0.0,2.0,155.0
9458,0.0,0.0,36.0,2020-01-28,安徽省,0.0,0.0,106.0
9803,0.0,0.0,10.0,2020-01-27,安徽省,0.0,0.0,70.0
10120,0.0,0.0,21.0,2020-01-26,安徽省,0.0,0.0,60.0
10377,0.0,0.0,24.0,2020-01-25,安徽省,0.0,0.0,39.0
