,新增死亡,新增治愈,新增确诊,日期,省,省死亡,省治愈,省确诊
10585,0.0,0.0,15.0,2020-01-24,安徽省,0.0,0.0,15.0
44,0.0,51.0,2.0,2020-02-20,湖南省,4.0,612.0,1010.0
428,0.0,34.0,1.0,2020-02-19,湖南省,4.0,561.0,1008.0
855,1.0,29.0,1.0,2020-02-18,湖南省,4.0,527.0,1007.0
1283,0.0,34.0,2.0,2020-02-17,湖南省,3.0,498.0,1006.0
1707,1.0,39.0,3.0,2020-02-16,湖南省,3.0,464.0,1004.0
2122,0.0,61.0,13.0,2020-02-15,湖南省,2.0,425.0,1001.0
2548,0.0,25.0,20.0,2020-02-14,湖南省,2.0,364.0,988.0
2959,0.0,35.0,22.0,2020-02-13,湖南省,2.0,339.0,968.0
3385,1.0,57.0,34.0,2020-02-12,湖南省,2.0,304.0,946.0
3812,0.0,39.0,33.0,2020-02-11,湖南省,1.0,247.0,912.0
4227,0.0,22.0,41.0,2020-02-10,湖南省,1.0,208.0,879.0
4647,0.0,30.0,35.0,2020-02-09,湖南省,1.0,186.0,838.0
5066,1.0,44.0,31.0,2020-02-08,湖南省,1.0,156.0,803.0
5495,0.0,31.0,61.0,2020-02-07,湖南省,0.0,112.0,772.0
5916,0.0,27.0,50.0,2020-02-06,湖南省,0.0,81.0,711.0
6338,0.0,23.0,68.0,2020-02-05,湖南省,0.0,54.0,661.0
6741,0.0,9.0,72.0,2020-02-04,湖南省,0.0,31.0,593.0
7147,0.0,6.0,58.0,2020-02-03,湖南省,0.0,22.0,521.0
7553,0.0,8.0,74.0,2020-02-02,湖南省,0.0,16.0,463.0
7953,0.0,6.0,57.0,2020-02-01,湖南省,0.0,8.0,389.0
8348,0.0,0.0,55.0,2020-01-31,湖南省,0.0,2.0,332.0
8759,0.0,2.0,56.0,2020-01-30,湖南省,0.0,2.0,277.0
9122,0.0,0.0,78.0,2020-01-29,湖南省,0.0,0.0,221.0
9474,0.0,0.0,43.0,2020-01-28,湖南省,0.0,0.0,143.0
9819,0.0,0.0,31.0,2020-01-27,湖南省,0.0,0.0,100.0
10136,0.0,0.0,26.0,2020-01-26,湖南省,0.0,0.0,69.0
10388,0.0,0.0,19.0,2020-01-25,湖南省,0.0,0.0,43.0
10593,0.0,0.0,24.0,2020-01-24,湖南省,0.0,0.0,24.0
58,0.0,25.0,6.0,2020-02-20,四川省,3.0,213.0,520.0
442,0.0,19.0,6.0,2020-02-19,四川省,3.0,188.0,514.0
869,0.0,13.0,13.0,2020-02-18,四川省,3.0,169.0,508.0
1297,0.0,25.0,14.0,2020-02-17,四川省,3.0,156.0,495.0
1721,2.0,12.0,11.0,2020-02-16,四川省,3.0,131.0,481.0
2136,0.0,5.0,7.0,2020-02-15,四川省,1.0,119.0,470.0
2562,0.0,10.0,12.0,2020-02-14,四川省,1.0,114.0,463.0
2973,0.0,12.0,15.0,2020-02-13,四川省,1.0,104.0,451.0
3399,0.0,7.0,19.0,2020-02-12,四川省,1.0,92.0,436.0
3826,0.0,5.0,12.0,2020-02-11,四川省,1.0,85.0,417.0
4241,0.0,9.0,19.0,2020-02-10,四川省,1.0,80.0,405.0
4661,0.0,11.0,22.0,2020-02-09,四川省,1.0,71.0,386.0
5080,0.0,18.0,20.0,2020-02-08,四川省,1.0,60.0,364.0
5509,0.0,11.0,23.0,2020-02-07,四川省,1.0,42.0,344.0
5930,0.0,7.0,20.0,2020-02-06,四川省,1.0,31.0,321.0
6352,0.0,10.0,19.0,2020-02-05,四川省,1.0,24.0,301.0
6755,0.0,0.0,28.0,2020-02-04,四川省,1.0,14.0,282.0
7161,0.0,3.0,23.0,2020-02-03,四川省,1.0,14.0,254.0
7567,0.0,8.0,24.0,2020-02-02,四川省,1.0,11.0,231.0
7967,0.0,2.0,30.0,2020-02-01,四川省,1.0,3.0,207.0
8362,0.0,0.0,35.0,2020-01-31,四川省,1.0,1.0,177.0
8773,0.0,0.0,34.0,2020-01-30,四川省,1.0,1.0,142.0
9135,1.0,1.0,18.0,2020-01-29,四川省,1.0,1.0,108.0
9487,0.0,0.0,21.0,2020-01-28,四川省,0.0,0.0,90.0
9832,0.0,-1.0,25.0,2020-01-27,四川省,0.0,0.0,69.0
10149,0.0,1.0,16.0,2020-01-26,四川省,0.0,1.0,44.0
10400,0.0,0.0,13.0,2020-01-25,四川省,0.0,0.0,28.0
10601,0.0,0.0,15.0,2020-01-24,四川省,0.0,0.0,15.0
80,1.0,19.0,2.0,2020-02-20,山东省,4.0,250.0,546.0
464,0.0,18.0,1.0,2020-02-19,山东省,3.0,231.0,544.0
891,1.0,22.0,2.0,2020-02-18,山东省,3.0,213.0,543.0
1319,0.0,18.0,4.0,2020-02-17,山东省,2.0,191.0,541.0
1743,0.0,17.0,5.0,2020-02-16,山东省,2.0,173.0,537.0
2157,0.0,20.0,9.0,2020-02-15,山东省,2.0,156.0,532.0
2583,0.0,31.0,14.0,2020-02-14,山东省,2.0,136.0,523.0
2994,0.0,13.0,11.0,2020-02-13,山东省,2.0,105.0,509.0
3420,1.0,12.0,11.0,2020-02-12,山东省,2.0,92.0,498.0
3847,0.0,14.0,21.0,2020-02-11,山东省,1.0,80.0,487.0
4262,0.0,3.0,22.0,2020-02-10,山东省,1.0,66.0,466.0
4682,1.0,19.0,28.0,2020-02-09,山东省,1.0,63.0,444.0
5102,0.0,7.0,30.0,2020-02-08,山东省,0.0,44.0,416.0
5530,0.0,10.0,39.0,2020-02-07,山东省,0.0,37.0,386.0
5951,0.0,12.0,40.0,2020-02-06,山东省,0.0,27.0,347.0
6373,0.0,4.0,32.0,2020-02-05,山东省,0.0,15.0,307.0
6776,0.0,4.0,16.0,2020-02-04,山东省,0.0,11.0,275.0
7182,0.0,1.0,29.0,2020-02-03,山东省,0.0,7.0,259.0
7588,0.0,3.0,24.0,2020-02-02,山东省,0.0,6.0,230.0
7988,0.0,1.0,22.0,2020-02-01,山东省,0.0,3.0,206.0
8383,0.0,1.0,26.0,2020-01-31,山东省,0.0,2.0,184.0
8792,0.0,0.0,28.0,2020-01-30,山东省,0.0,1.0,158.0
9154,-1.0,1.0,35.0,2020-01-29,山东省,0.0,1.0,130.0
9504,1.0,-1.0,20.0,2020-01-28,山东省,1.0,0.0,95.0
9849,0.0,1.0,29.0,2020-01-27,山东省,0.0,1.0,75.0
10163,0.0,-1.0,19.0,2020-01-26,山东省,0.0,0.0,46.0
10410,0.0,1.0,12.0,2020-01-25,山东省,0.0,1.0,27.0
10608,0.0,0.0,15.0,2020-01-24,山东省,0.0,0.0,15.0
95,1.0,5.0,1.0,2020-02-20,河北省,5.0,157.0,307.0
479,0.0,16.0,4.0,2020-02-19,河北省,4.0,152.0,306.0
906,1.0,14.0,1.0,2020-02-18,河北省,4.0,136.0,302.0
1334,0.0,17.0,1.0,2020-02-17,河北省,3.0,122.0,301.0
1758,0.0,4.0,9.0,2020-02-16,河北省,3.0,105.0,300.0
2172,0.0,14.0,8.0,2020-02-15,河北省,3.0,101.0,291.0
2598,0.0,19.0,18.0,2020-02-14,河北省,3.0,87.0,283.0
3009,1.0,14.0,14.0,2020-02-13,河北省,3.0,68.0,265.0
3435,0.0,6.0,12.0,2020-02-12,河北省,2.0,54.0,251.0
3862,0.0,7.0,21.0,2020-02-11,河北省,2.0,48.0,239.0
4277,0.0,7.0,12.0,2020-02-10,河北省,2.0,41.0,218.0
4697,1.0,4.0,11.0,2020-02-09,河北省,2.0,34.0,206.0
5117,0.0,8.0,23.0,2020-02-08,河北省,1.0,30.0,195.0
5545,0.0,9.0,15.0,2020-02-07,河北省,1.0,22.0,172.0
5966,0.0,7.0,21.0,2020-02-06,河北省,1.0,13.0,157.0
6388,0.0,2.0,10.0,2020-02-05,河北省,1.0,6.0,136.0
6791,0.0,1.0,13.0,2020-02-04,河北省,1.0,4.0,126.0
7197,0.0,0.0,9.0,2020-02-03,河北省,1.0,3.0,113.0
7604,0.0,3.0,8.0,2020-02-02,河北省,1.0,3.0,104.0
8003,0.0,0.0,14.0,2020-02-01,河北省,1.0,0.0,96.0
8398,0.0,0.0,17.0,2020-01-31,河北省,1.0,0.0,82.0
8807,0.0,0.0,17.0,2020-01-30,河北省,1.0,0.0,65.0
9169,0.0,0.0,15.0,2020-01-29,河北省,1.0,0.0,48.0
9519,0.0,0.0,15.0,2020-01-28,河北省,1.0,0.0,33.0
9863,0.0,0.0,5.0,2020-01-27,河北省,1.0,0.0,18.0
10176,0.0,0.0,5.0,2020-01-26,河北省,1.0,0.0,13.0
10422,0.0,0.0,6.0,2020-01-25,河北省,1.0,0.0,8.0
10616,1.0,0.0,2.0,2020-01-24,河北省,1.0,0.0,2.0
106,0.0,10.0,0.0,2020-02-20,山西省,0.0,73.0,131.0
490,0.0,3.0,1.0,2020-02-19,山西省,0.0,63.0,131.0
917,0.0,9.0,1.0,2020-02-18,山西省,0.0,60.0,130.0
1345,0.0,2.0,1.0,2020-02-17,山西省,0.0,51.0,129.0
1769,0.0,7.0,1.0,2020-02-16,山西省,0.0,49.0,128.0
2183,0.0,4.0,1.0,2020-02-15,山西省,0.0,42.0,127.0
2609,0.0,5.0,0.0,2020-02-14,山西省,0.0,38.0,126.0
3020,0.0,0.0,2.0,2020-02-13,山西省,0.0,33.0,126.0
3446,0.0,3.0,2.0,2020-02-12,山西省,0.0,33.0,124.0
3873,0.0,5.0,3.0,2020-02-11,山西省,0.0,30.0,122.0
4288,0.0,3.0,4.0,2020-02-10,山西省,0.0,25.0,119.0
4708,0.0,2.0,11.0,2020-02-09,山西省,0.0,22.0,115.0
5128,0.0,5.0,8.0,2020-02-08,山西省,0.0,20.0,104.0
5556,0.0,3.0,6.0,2020-02-07,山西省,0.0,15.0,96.0
5977,0.0,7.0,9.0,2020-02-06,山西省,0.0,12.0,90.0
6399,0.0,1.0,7.0,2020-02-05,山西省,0.0,5.0,81.0
6802,0.0,1.0,8.0,2020-02-04,山西省,0.0,4.0,74.0
7208,0.0,1.0,10.0,2020-02-03,山西省,0.0,3.0,66.0
7615,0.0,1.0,9.0,2020-02-02,山西省,0.0,2.0,56.0
8014,0.0,0.0,8.0,2020-02-01,山西省,0.0,1.0,47.0
8408,0.0,0.0,4.0,2020-01-31,山西省,0.0,1.0,39.0
8817,0.0,0.0,8.0,2020-01-30,山西省,0.0,1.0,35.0
9179,0.0,1.0,7.0,2020-01-29,山西省,0.0,1.0,27.0
9528,0.0,0.0,7.0,2020-01-28,山西省,0.0,0.0,20.0
9870,0.0,0.0,4.0,2020-01-27,山西省,0.0,0.0,13.0
10181,0.0,0.0,3.0,2020-01-26,山西省,0.0,0.0,9.0
10426,0.0,0.0,5.0,2020-01-25,山西省,0.0,0.0,6.0
10618,0.0,0.0,1.0,2020-01-24,山西省,0.0,0.0,1.0
117,0.0,49.0,3.0,2020-02-20,河南省,19.0,622.0,1265.0
501,0.0,51.0,5.0,2020-02-19,河南省,19.0,573.0,1262.0
928,2.0,13.0,11.0,2020-02-18,河南省,19.0,522.0,1257.0
1356,4.0,69.0,15.0,2020-02-17,河南省,17.0,509.0,1246.0
1780,0.0,49.0,19.0,2020-02-16,河南省,13.0,440.0,1231.0
2194,2.0,34.0,28.0,2020-02-15,河南省,13.0,391.0,1212.0
2620,1.0,61.0,15.0,2020-02-14,河南省,11.0,357.0,1184.0
3031,2.0,50.0,34.0,2020-02-13,河南省,10.0,296.0,1169.0
3457,1.0,28.0,30.0,2020-02-12,河南省,8.0,246.0,1135.0
3884,1.0,27.0,32.0,2020-02-11,河南省,7.0,218.0,1105.0
4299,0.0,38.0,40.0,2020-02-10,河南省,6.0,191.0,1073.0
4719,2.0,37.0,52.0,2020-02-09,河南省,6.0,153.0,1033.0
5139,1.0,30.0,67.0,2020-02-08,河南省,4.0,116.0,981.0
5567,1.0,30.0,63.0,2020-02-07,河南省,3.0,86.0,914.0
5988,0.0,6.0,87.0,2020-02-06,河南省,2.0,56.0,851.0
6410,0.0,23.0,89.0,2020-02-05,河南省,2.0,50.0,764.0
6813,0.0,11.0,109.0,2020-02-04,河南省,2.0,27.0,675.0
7219,0.0,6.0,73.0,2020-02-03,河南省,2.0,16.0,566.0
7626,0.0,7.0,71.0,2020-02-02,河南省,2.0,10.0,493.0
8025,0.0,0.0,70.0,2020-02-01,河南省,2.0,3.0,422.0
8417,0.0,1.0,74.0,2020-01-31,河南省,2.0,3.0,352.0
8826,0.0,1.0,72.0,2020-01-30,河南省,2.0,2.0,278.0
9190,1.0,1.0,38.0,2020-01-29,河南省,2.0,1.0,206.0
9537,0.0,0.0,40.0,2020-01-28,河南省,1.0,0.0,168.0
9879,0.0,0.0,45.0,2020-01-27,河南省,1.0,0.0,128.0
10187,1.0,0.0,51.0,2020-01-26,河南省,1.0,0.0,83.0
10430,0.0,0.0,23.0,2020-01-25,河南省,0.0,0.0,32.0
10619,0.0,0.0,9.0,2020-01-24,河南省,0.0,0.0,9.0
136,0.0,12.0,6.0,2020-02-20,黑龙江省,12.0,132.0,476.0
520,1.0,9.0,6.0,2020-02-19,黑龙江省,12.0,120.0,470.0
947,0.0,26.0,7.0,2020-02-18,黑龙江省,11.0,111.0,464.0
1375,0.0,6.0,12.0,2020-02-17,黑龙江省,11.0,85.0,457.0
1799,0.0,11.0,20.0,2020-02-16,黑龙江省,11.0,79.0,445.0
2213,0.0,21.0,6.0,2020-02-15,黑龙江省,11.0,68.0,425.0
2639,2.0,14.0,24.0,2020-02-14,黑龙江省,11.0,47.0,419.0
3050,1.0,2.0,17.0,2020-02-13,黑龙江省,9.0,33.0,395.0
3476,0.0,3.0,18.0,2020-02-12,黑龙江省,8.0,31.0,378.0
3903,1.0,-2.0,29.0,2020-02-11,黑龙江省,8.0,28.0,360.0
4318,1.0,16.0,24.0,2020-02-10,黑龙江省,7.0,30.0,331.0
4738,1.0,1.0,11.0,2020-02-09,黑龙江省,6.0,14.0,307.0
5160,2.0,1.0,19.0,2020-02-08,黑龙江省,5.0,13.0,296.0
5587,0.0,4.0,50.0,2020-02-07,黑龙江省,3.0,12.0,277.0
6008,1.0,0.0,37.0,2020-02-06,黑龙江省,3.0,8.0,227.0
6428,0.0,4.0,35.0,2020-02-05,黑龙江省,2.0,8.0,190.0
6831,0.0,2.0,34.0,2020-02-04,黑龙江省,2.0,4.0,155.0
7245,0.0,-2.0,26.0,2020-02-03,黑龙江省,2.0,2.0,121.0
7648,0.0,2.0,15.0,2020-02-02,黑龙江省,2.0,4.0,95.0
8048,0.0,2.0,21.0,2020-02-01,黑龙江省,2.0,2.0,80.0
8438,0.0,0.0,15.0,2020-01-31,黑龙江省,2.0,0.0,59.0
8845,1.0,0.0,6.0,2020-01-30,黑龙江省,2.0,0.0,44.0
9208,0.0,0.0,8.0,2020-01-29,黑龙江省,1.0,0.0,38.0
9555,0.0,0.0,9.0,2020-01-28,黑龙江省,1.0,0.0,30.0
9896,0.0,0.0,6.0,2020-01-27,黑龙江省,1.0,0.0,21.0
10200,0.0,0.0,6.0,2020-01-26,黑龙江省,1.0,0.0,15.0
10441,0.0,0.0,5.0,2020-01-25,黑龙江省,1.0,0.0,9.0
10625,1.0,0.0,4.0,2020-01-24,黑龙江省,1.0,0.0,4.0
149,1.0,5.0,0.0,2020-02-20,福建省,1.0,117.0,293.0
533,0.0,19.0,1.0,2020-02-19,福建省,0.0,112.0,293.0
961,0.0,3.0,2.0,2020-02-18,福建省,0.0,93.0,292.0
1388,0.0,8.0,3.0,2020-02-17,福建省,0.0,90.0,290.0
1812,0.0,11.0,2.0,2020-02-16,福建省,0.0,82.0,287.0
2226,0.0,8.0,4.0,2020-02-15,福建省,0.0,71.0,285.0
2652,0.0,6.0,2.0,2020-02-14,福建省,0.0,63.0,281.0
3062,0.0,4.0,7.0,2020-02-13,福建省,0.0,57.0,279.0
3488,0.0,8.0,5.0,2020-02-12,福建省,0.0,53.0,272.0
3915,0.0,6.0,6.0,2020-02-11,福建省,0.0,45.0,267.0
4330,0.0,4.0,11.0,2020-02-10,福建省,0.0,39.0,261.0
4750,0.0,11.0,11.0,2020-02-09,福建省,0.0,35.0,250.0
5173,0.0,4.0,15.0,2020-02-08,福建省,0.0,24.0,239.0
5599,0.0,6.0,9.0,2020-02-07,福建省,0.0,20.0,224.0
6021,0.0,3.0,10.0,2020-02-06,福建省,0.0,14.0,215.0
6440,0.0,8.0,11.0,2020-02-05,福建省,0.0,11.0,205.0
6843,0.0,2.0,15.0,2020-02-04,福建省,0.0,3.0,194.0
7257,0.0,1.0,20.0,2020-02-03,福建省,0.0,1.0,179.0
7661,0.0,0.0,15.0,2020-02-02,福建省,0.0,0.0,159.0
8059,0.0,0.0,24.0,2020-02-01,福建省,0.0,0.0,144.0
8449,0.0,0.0,19.0,2020-01-31,福建省,0.0,0.0,120.0
8856,0.0,0.0,17.0,2020-01-30,福建省,0.0,0.0,101.0
9218,0.0,0.0,4.0,2020-01-29,福建省,0.0,0.0,84.0
9563,0.0,0.0,21.0,2020-01-28,福建省,0.0,0.0,80.0
9904,0.0,0.0,24.0,2020-01-27,福建省,0.0,0.0,59.0
10205,0.0,0.0,17.0,2020-01-26,福建省,0.0,0.0,35.0
10445,0.0,0.0,8.0,2020-01-25,福建省,0.0,0.0,18.0
10629,0.0,0.0,10.0,2020-01-24,福建省,0.0,0.0,10.0
159,0.0,4.0,0.0,2020-02-20,辽宁省,1.0,59.0,121.0
543,0.0,2.0,0.0,2020-02-19,辽宁省,1.0,55.0,121.0
971,0.0,10.0,0.0,2020-02-18,辽宁省,1.0,53.0,121.0
1398,0.0,3.0,0.0,2020-02-17,辽宁省,1.0,43.0,121.0
1822,0.0,9.0,2.0,2020-02-16,辽宁省,1.0,40.0,121.0
2236,0.0,2.0,0.0,2020-02-15,辽宁省,1.0,31.0,119.0
2662,0.0,7.0,2.0,2020-02-14,辽宁省,1.0,29.0,119.0
3071,0.0,2.0,1.0,2020-02-13,辽宁省,1.0,22.0,117.0
3498,1.0,1.0,5.0,2020-02-12,辽宁省,1.0,20.0,116.0
3924,0.0,6.0,3.0,2020-02-11,辽宁省,0.0,19.0,111.0
4340,0.0,1.0,1.0,2020-02-10,辽宁省,0.0,13.0,108.0
4759,0.0,4.0,2.0,2020-02-09,辽宁省,0.0,12.0,107.0
5182,0.0,1.0,6.0,2020-02-08,辽宁省,0.0,8.0,105.0
5609,0.0,2.0,5.0,2020-02-07,辽宁省,0.0,7.0,99.0
6030,0.0,1.0,5.0,2020-02-06,辽宁省,0.0,5.0,94.0
6449,0.0,2.0,8.0,2020-02-05,辽宁省,0.0,4.0,89.0
6852,0.0,1.0,7.0,2020-02-04,辽宁省,0.0,2.0,81.0
7266,0.0,0.0,4.0,2020-02-03,辽宁省,0.0,1.0,74.0
7670,0.0,0.0,6.0,2020-02-02,辽宁省,0.0,1.0,70.0
8068,0.0,0.0,16.0,2020-02-01,辽宁省,0.0,1.0,64.0
8458,0.0,0.0,7.0,2020-01-31,辽宁省,0.0,1.0,48.0
8865,0.0,0.0,2.0,2020-01-30,辽宁省,0.0,1.0,41.0
9227,0.0,1.0,5.0,2020-01-29,辽宁省,0.0,1.0,39.0
9572,0.0,0.0,7.0,2020-01-28,辽宁省,0.0,0.0,34.0
9912,0.0,0.0,6.0,2020-01-27,辽宁省,0.0,0.0,27.0
10213,0.0,0.0,5.0,2020-01-26,辽宁省,0.0,0.0,21.0
10451,0.0,0.0,12.0,2020-01-25,辽宁省,0.0,0.0,16.0
10635,0.0,0.0,4.0,2020-01-24,辽宁省,0.0,0.0,4.0
172,0.0,14.0,1.0,2020-02-20,上海市,2.0,200.0,334.0
556,1.0,9.0,0.0,2020-02-19,上海市,2.0,186.0,333.0
984,0.0,16.0,1.0,2020-02-18,上海市,1.0,177.0,333.0
1411,0.0,21.0,4.0,2020-02-17,上海市,1.0,161.0,332.0
1835,0.0,16.0,2.0,2020-02-16,上海市,1.0,140.0,328.0
2249,0.0,34.0,8.0,2020-02-15,上海市,1.0,124.0,326.0
2675,0.0,28.0,3.0,2020-02-14,上海市,1.0,90.0,318.0
3084,0.0,5.0,4.0,2020-02-13,上海市,1.0,62.0,315.0
3512,0.0,5.0,8.0,2020-02-12,上海市,1.0,57.0,311.0
3938,0.0,4.0,4.0,2020-02-11,上海市,1.0,52.0,303.0
4353,0.0,4.0,6.0,2020-02-10,上海市,1.0,48.0,299.0
4772,0.0,3.0,7.0,2020-02-09,上海市,1.0,44.0,293.0
5195,0.0,11.0,9.0,2020-02-08,上海市,1.0,41.0,286.0
5622,0.0,5.0,20.0,2020-02-07,上海市,1.0,30.0,277.0
6043,0.0,10.0,14.0,2020-02-06,上海市,1.0,25.0,257.0
6462,0.0,3.0,24.0,2020-02-05,上海市,1.0,15.0,243.0
6865,0.0,2.0,16.0,2020-02-04,上海市,1.0,12.0,219.0
7279,0.0,0.0,21.0,2020-02-03,上海市,1.0,10.0,203.0
7683,0.0,0.0,13.0,2020-02-02,上海市,1.0,10.0,182.0
8081,0.0,1.0,34.0,2020-02-01,上海市,1.0,10.0,169.0
8469,0.0,-2.0,23.0,2020-01-31,上海市,1.0,9.0,135.0
