,日期,省,省确诊,省治愈,省死亡,市,确诊,治愈,死亡
0,2020-02-18,上海市,333,177,1,徐汇区,18,6,0
0,2020-02-18,上海市,333,177,1,松江区,14,5,0
0,2020-02-18,上海市,333,177,1,奉贤区,9,1,0
0,2020-02-18,上海市,333,177,1,闵行区,18,11,0
0,2020-02-18,上海市,333,177,1,静安区,16,9,0
0,2020-02-18,上海市,333,177,1,普陀区,11,4,0
0,2020-02-18,上海市,333,177,1,嘉定区,9,2,0
0,2020-02-18,上海市,333,177,1,杨浦区,9,3,0
0,2020-02-18,上海市,333,177,1,长宁区,13,8,0
0,2020-02-18,上海市,333,177,1,黄浦区,6,2,0
0,2020-02-18,上海市,333,177,1,崇明区,4,0,0
0,2020-02-18,上海市,333,177,1,虹口区,7,4,0
0,2020-02-18,上海市,333,177,1,金山区,3,2,0
0,2020-02-18,上海市,333,177,1,青浦区,5,5,0
0,2020-02-18,上海市,333,177,1,待明确地区,0,16,0
0,2020-02-18,安徽省,982,320,6,蚌埠,158,21,5
0,2020-02-18,安徽省,982,320,6,合肥,173,50,1
0,2020-02-18,安徽省,982,320,6,阜阳,154,41,0
0,2020-02-18,安徽省,982,320,6,亳州,108,47,0
0,2020-02-18,安徽省,982,320,6,六安,68,23,0
0,2020-02-18,安徽省,982,320,6,安庆,83,39,0
0,2020-02-18,安徽省,982,320,6,宿州,41,17,0
0,2020-02-18,安徽省,982,320,6,马鞍山,36,14,0
0,2020-02-18,安徽省,982,320,6,淮南,27,8,0
0,2020-02-18,安徽省,982,320,6,铜陵,29,12,0
0,2020-02-18,安徽省,982,320,6,芜湖,33,17,0
0,2020-02-18,安徽省,982,320,6,淮北,27,11,0
0,2020-02-18,安徽省,982,320,6,池州,17,6,0
0,2020-02-18,安徽省,982,320,6,滁州,13,7,0
0,2020-02-18,安徽省,982,320,6,黄山,9,3,0
0,2020-02-18,安徽省,982,320,6,宣城,6,4,0
0,2020-02-18,安徽省,982,320,6,待明确地区,0,3,0
0,2020-02-18,湖南省,1007,503,4,长沙,241,92,2
0,2020-02-18,湖南省,1007,503,4,岳阳,155,64,1
0,2020-02-18,湖南省,1007,503,4,常德,79,34,0
0,2020-02-18,湖南省,1007,503,4,株洲,78,35,0
0,2020-02-18,湖南省,1007,503,4,娄底,76,35,0
0,2020-02-18,湖南省,1007,503,4,邵阳,101,67,1
0,2020-02-18,湖南省,1007,503,4,益阳,59,31,0
0,2020-02-18,湖南省,1007,503,4,衡阳,48,28,0
0,2020-02-18,湖南省,1007,503,4,湘潭,35,16,0
0,2020-02-18,湖南省,1007,503,4,永州,43,30,0
0,2020-02-18,湖南省,1007,503,4,郴州,39,26,0
0,2020-02-18,湖南省,1007,503,4,怀化,40,34,0
0,2020-02-18,湖南省,1007,503,4,湘西自治州,8,6,0
0,2020-02-18,湖南省,1007,503,4,张家界,5,5,0
0,2020-02-18,广西壮族自治区,242,63,2,南宁,54,16,0
0,2020-02-18,广西壮族自治区,242,63,2,北海,44,10,1
0,2020-02-18,广西壮族自治区,242,63,2,河池,22,0,1
0,2020-02-18,广西壮族自治区,242,63,2,防城港,18,1,0
0,2020-02-18,广西壮族自治区,242,63,2,桂林,31,15,0
0,2020-02-18,广西壮族自治区,242,63,2,柳州,24,8,0
0,2020-02-18,广西壮族自治区,242,63,2,来宾,11,0,0
0,2020-02-18,广西壮族自治区,242,63,2,钦州,8,1,0
0,2020-02-18,广西壮族自治区,242,63,2,玉林,10,4,0
0,2020-02-18,广西壮族自治区,242,63,2,贵港,8,3,0
0,2020-02-18,广西壮族自治区,242,63,2,贺州,4,0,0
0,2020-02-18,广西壮族自治区,242,63,2,百色,3,0,0
0,2020-02-18,广西壮族自治区,242,63,2,梧州,5,5,0
0,2020-02-18,山东省,543,195,2,济南,47,13,0
0,2020-02-18,山东省,543,195,2,烟台,47,13,0
0,2020-02-18,山东省,543,195,2,潍坊,44,11,0
0,2020-02-18,山东省,543,195,2,青岛,58,26,1
0,2020-02-18,山东省,543,195,2,济宁,52,22,0
0,2020-02-18,山东省,543,195,2,威海,38,9,0
0,2020-02-18,山东省,543,195,2,德州,37,9,1
0,2020-02-18,山东省,543,195,2,聊城,38,12,0
0,2020-02-18,山东省,543,195,2,泰安,32,6,0
0,2020-02-18,山东省,543,195,2,淄博,29,5,0
0,2020-02-18,山东省,543,195,2,枣庄,24,7,0
0,2020-02-18,山东省,543,195,2,临沂,48,35,0
0,2020-02-18,山东省,543,195,2,日照,16,4,0
0,2020-02-18,山东省,543,195,2,菏泽,18,13,0
0,2020-02-18,山东省,543,195,2,滨州,15,10,0
0,2020-02-18,辽宁省,121,45,1,大连,19,5,0
0,2020-02-18,辽宁省,121,45,1,葫芦岛,12,0,1
0,2020-02-18,辽宁省,121,45,1,盘锦,11,0,0
0,2020-02-18,辽宁省,121,45,1,沈阳,28,19,0
0,2020-02-18,辽宁省,121,45,1,阜新,8,0,0
0,2020-02-18,辽宁省,121,45,1,铁岭,7,1,0
0,2020-02-18,辽宁省,121,45,1,锦州,12,7,0
0,2020-02-18,辽宁省,121,45,1,鞍山,4,0,0
0,2020-02-18,辽宁省,121,45,1,丹东,7,4,0
0,2020-02-18,辽宁省,121,45,1,朝阳,6,3,0
0,2020-02-18,辽宁省,121,45,1,辽阳,3,2,0
0,2020-02-18,辽宁省,121,45,1,本溪,3,3,0
0,2020-02-18,辽宁省,121,45,1,营口,1,1,0
0,2020-02-18,青海省,18,14,0,西宁,15,12,0
0,2020-02-18,青海省,18,14,0,海北州,3,2,0
0,2020-02-18,云南省,172,51,0,昆明,52,13,0
0,2020-02-18,云南省,172,51,0,昭通,25,2,0
0,2020-02-18,云南省,172,51,0,西双版纳,15,4,0
0,2020-02-18,云南省,172,51,0,玉溪,14,3,0
0,2020-02-18,云南省,172,51,0,曲靖,13,6,0
0,2020-02-18,云南省,172,51,0,大理州,13,6,0
0,2020-02-18,云南省,172,51,0,保山,9,2,0
0,2020-02-18,云南省,172,51,0,红河州,8,3,0
0,2020-02-18,云南省,172,51,0,德宏州,5,2,0
0,2020-02-18,云南省,172,51,0,普洱,4,1,0
0,2020-02-18,云南省,172,51,0,楚雄州,4,1,0
0,2020-02-18,云南省,172,51,0,文山州,2,0,0
0,2020-02-18,云南省,172,51,0,丽江,7,7,0
0,2020-02-18,云南省,172,51,0,临沧,1,1,0
0,2020-02-18,河南省,1257,514,19,信阳,266,84,2
0,2020-02-18,河南省,1257,514,19,南阳,155,65,2
0,2020-02-18,河南省,1257,514,19,郑州,154,76,0
0,2020-02-18,河南省,1257,514,19,驻马店,139,75,0
0,2020-02-18,河南省,1257,514,19,周口,76,32,0
0,2020-02-18,河南省,1257,514,19,商丘,91,46,3
0,2020-02-18,河南省,1257,514,19,新乡,57,21,2
0,2020-02-18,河南省,1257,514,19,平顶山,58,27,1
0,2020-02-18,河南省,1257,514,19,安阳,52,24,0
0,2020-02-18,河南省,1257,514,19,许昌,38,11,0
