,新增死亡,新增治愈,新增确诊,日期,省,省死亡,省治愈,省确诊
0,52.0,1986.0,401.0,2020-02-26,湖北省,2615.0,20957.0,65187.0
381,68.0,2223.0,499.0,2020-02-25,湖北省,2563.0,18971.0,64786.0
771,149.0,1405.0,203.0,2020-02-24,湖北省,2495.0,16748.0,64287.0
1185,96.0,1653.0,630.0,2020-02-23,湖北省,2346.0,15343.0,64084.0
1613,106.0,1809.0,792.0,2020-02-22,湖北省,2250.0,13690.0,63454.0
2022,115.0,1360.0,631.0,2020-02-21,湖北省,2144.0,11881.0,62662.0
2451,108.0,1185.0,349.0,2020-02-20,湖北省,2029.0,10521.0,62031.0
2874,132.0,1393.0,1693.0,2020-02-19,湖北省,1921.0,9336.0,61682.0
3301,93.0,1250.0,1807.0,2020-02-18,湖北省,1789.0,7943.0,59989.0
3729,100.0,1027.0,1933.0,2020-02-17,湖北省,1696.0,6693.0,58182.0
4154,139.0,845.0,1843.0,2020-02-16,湖北省,1596.0,5666.0,56249.0
4569,31.0,690.0,2420.0,2020-02-15,湖北省,1457.0,4821.0,54406.0
4995,116.0,672.0,3780.0,2020-02-14,湖北省,1426.0,4131.0,51986.0
5405,242.0,773.0,14840.0,2020-02-13,湖北省,1310.0,3459.0,48206.0
5832,94.0,376.0,1638.0,2020-02-12,湖北省,1068.0,2686.0,33366.0
6259,103.0,456.0,2097.0,2020-02-11,湖北省,974.0,2310.0,31728.0
6674,91.0,374.0,2531.0,2020-02-10,湖北省,871.0,1854.0,29631.0
7094,81.0,262.0,2147.0,2020-02-09,湖北省,780.0,1480.0,27100.0
7512,81.0,351.0,2841.0,2020-02-08,湖北省,699.0,1218.0,24953.0
7941,69.0,155.0,2447.0,2020-02-07,湖北省,618.0,867.0,22112.0
8362,70.0,175.0,2987.0,2020-02-06,湖北省,549.0,712.0,19665.0
8785,65.0,139.0,3156.0,2020-02-05,湖北省,479.0,537.0,16678.0
9188,64.0,98.0,2345.0,2020-02-04,湖北省,414.0,398.0,13522.0
9594,56.0,33.0,2103.0,2020-02-03,湖北省,350.0,300.0,11177.0
9999,45.0,99.0,1921.0,2020-02-02,湖北省,294.0,267.0,9074.0
10399,45.0,27.0,1347.0,2020-02-01,湖北省,249.0,168.0,7153.0
10794,42.0,51.0,903.0,2020-01-31,湖北省,204.0,141.0,5806.0
11204,37.0,3.0,1349.0,2020-01-30,湖北省,162.0,90.0,4903.0
11567,25.0,35.0,840.0,2020-01-29,湖北省,125.0,87.0,3554.0
11921,24.0,5.0,1291.0,2020-01-28,湖北省,100.0,52.0,2714.0
12267,24.0,5.0,365.0,2020-01-27,湖北省,76.0,47.0,1423.0
12585,13.0,10.0,328.0,2020-01-26,湖北省,52.0,42.0,1058.0
12845,15.0,1.0,181.0,2020-01-25,湖北省,39.0,32.0,730.0
13059,24.0,31.0,549.0,2020-01-24,湖北省,24.0,31.0,549.0
17,0.0,22.0,0.0,2020-02-26,山东省,6.0,377.0,756.0
398,1.0,12.0,1.0,2020-02-25,山东省,6.0,355.0,756.0
789,1.0,22.0,1.0,2020-02-24,山东省,5.0,343.0,755.0
1203,0.0,19.0,4.0,2020-02-23,山东省,4.0,321.0,754.0
1631,0.0,21.0,1.0,2020-02-22,山东省,4.0,302.0,750.0
2041,0.0,27.0,203.0,2020-02-21,山东省,4.0,281.0,749.0
2468,1.0,23.0,2.0,2020-02-20,山东省,4.0,254.0,546.0
2892,0.0,18.0,1.0,2020-02-19,山东省,3.0,231.0,544.0
3318,1.0,22.0,2.0,2020-02-18,山东省,3.0,213.0,543.0
3746,0.0,18.0,4.0,2020-02-17,山东省,2.0,191.0,541.0
4171,0.0,17.0,5.0,2020-02-16,山东省,2.0,173.0,537.0
4586,0.0,20.0,9.0,2020-02-15,山东省,2.0,156.0,532.0
5012,0.0,31.0,14.0,2020-02-14,山东省,2.0,136.0,523.0
5422,0.0,13.0,11.0,2020-02-13,山东省,2.0,105.0,509.0
5849,1.0,12.0,11.0,2020-02-12,山东省,2.0,92.0,498.0
6276,0.0,14.0,21.0,2020-02-11,山东省,1.0,80.0,487.0
6691,0.0,3.0,22.0,2020-02-10,山东省,1.0,66.0,466.0
7111,1.0,19.0,28.0,2020-02-09,山东省,1.0,63.0,444.0
7529,0.0,7.0,30.0,2020-02-08,山东省,0.0,44.0,416.0
7958,0.0,10.0,39.0,2020-02-07,山东省,0.0,37.0,386.0
8380,0.0,12.0,40.0,2020-02-06,山东省,0.0,27.0,347.0
8802,0.0,4.0,32.0,2020-02-05,山东省,0.0,15.0,307.0
