,新增死亡,新增治愈,新增确诊,日期,省,省死亡,省治愈,省确诊
9205,0.0,4.0,16.0,2020-02-04,山东省,0.0,11.0,275.0
9611,0.0,1.0,29.0,2020-02-03,山东省,0.0,7.0,259.0
10017,0.0,3.0,24.0,2020-02-02,山东省,0.0,6.0,230.0
10416,0.0,1.0,22.0,2020-02-01,山东省,0.0,3.0,206.0
10811,0.0,1.0,26.0,2020-01-31,山东省,0.0,2.0,184.0
11222,0.0,0.0,28.0,2020-01-30,山东省,0.0,1.0,158.0
11584,-1.0,1.0,35.0,2020-01-29,山东省,0.0,1.0,130.0
11938,1.0,-1.0,20.0,2020-01-28,山东省,1.0,0.0,95.0
12283,0.0,1.0,29.0,2020-01-27,山东省,0.0,1.0,75.0
12600,0.0,-1.0,19.0,2020-01-26,山东省,0.0,0.0,46.0
12859,0.0,1.0,12.0,2020-01-25,山东省,0.0,1.0,27.0
13067,0.0,0.0,15.0,2020-01-24,山东省,0.0,0.0,15.0
32,0.0,5.0,0.0,2020-02-26,海南省,5.0,129.0,168.0
413,0.0,8.0,0.0,2020-02-25,海南省,5.0,124.0,168.0
804,1.0,10.0,0.0,2020-02-24,海南省,5.0,116.0,168.0
1218,0.0,2.0,0.0,2020-02-23,海南省,4.0,106.0,168.0
1647,0.0,9.0,0.0,2020-02-22,海南省,4.0,104.0,168.0
2058,0.0,9.0,0.0,2020-02-21,海南省,4.0,95.0,168.0
2483,0.0,2.0,5.0,2020-02-20,海南省,4.0,86.0,168.0
2907,0.0,5.0,0.0,2020-02-19,海南省,4.0,84.0,163.0
3333,0.0,20.0,0.0,2020-02-18,海南省,4.0,79.0,163.0
3761,0.0,7.0,1.0,2020-02-17,海南省,4.0,59.0,163.0
4186,0.0,13.0,0.0,2020-02-16,海南省,4.0,52.0,162.0
4601,0.0,-4.0,3.0,2020-02-15,海南省,4.0,39.0,162.0
5027,0.0,9.0,2.0,2020-02-14,海南省,4.0,43.0,159.0
5437,1.0,7.0,0.0,2020-02-13,海南省,4.0,34.0,157.0
5864,0.0,7.0,13.0,2020-02-12,海南省,3.0,27.0,157.0
6291,0.0,1.0,6.0,2020-02-11,海南省,3.0,20.0,144.0
6706,0.0,0.0,7.0,2020-02-10,海南省,3.0,19.0,138.0
7126,1.0,5.0,7.0,2020-02-09,海南省,3.0,19.0,131.0
7544,0.0,4.0,7.0,2020-02-08,海南省,2.0,14.0,124.0
7973,1.0,2.0,11.0,2020-02-07,海南省,2.0,10.0,117.0
8395,0.0,2.0,15.0,2020-02-06,海南省,1.0,8.0,106.0
8817,0.0,1.0,11.0,2020-02-05,海南省,1.0,6.0,91.0
9220,0.0,1.0,8.0,2020-02-04,海南省,1.0,5.0,80.0
9626,0.0,0.0,8.0,2020-02-03,海南省,1.0,4.0,72.0
10033,-1.0,3.0,2.0,2020-02-02,海南省,1.0,4.0,64.0
10431,1.0,0.0,10.0,2020-02-01,海南省,2.0,1.0,62.0
10826,0.0,0.0,6.0,2020-01-31,海南省,1.0,1.0,52.0
11237,0.0,1.0,3.0,2020-01-30,海南省,1.0,1.0,46.0
11599,0.0,0.0,3.0,2020-01-29,海南省,1.0,0.0,43.0
11953,0.0,0.0,7.0,2020-01-28,海南省,1.0,0.0,40.0
12297,1.0,0.0,11.0,2020-01-27,海南省,1.0,0.0,33.0
12613,0.0,0.0,3.0,2020-01-26,海南省,0.0,0.0,22.0
12871,0.0,0.0,11.0,2020-01-25,海南省,0.0,0.0,19.0
13075,0.0,0.0,8.0,2020-01-24,海南省,0.0,0.0,8.0
48,0.0,5.0,0.0,2020-02-26,天津市,3.0,96.0,135.0
429,0.0,4.0,0.0,2020-02-25,天津市,3.0,91.0,135.0
820,0.0,6.0,0.0,2020-02-24,天津市,3.0,87.0,135.0
1234,0.0,16.0,0.0,2020-02-23,天津市,3.0,81.0,135.0
1663,0.0,3.0,3.0,2020-02-22,天津市,3.0,65.0,135.0
2073,0.0,3.0,1.0,2020-02-21,天津市,3.0,62.0,132.0
2498,0.0,5.0,1.0,2020-02-20,天津市,3.0,59.0,131.0
2922,0.0,6.0,2.0,2020-02-19,天津市,3.0,54.0,130.0
3349,0.0,2.0,3.0,2020-02-18,天津市,3.0,48.0,128.0
3777,0.0,1.0,1.0,2020-02-17,天津市,3.0,46.0,125.0
4202,0.0,8.0,2.0,2020-02-16,天津市,3.0,45.0,124.0
4616,0.0,6.0,2.0,2020-02-15,天津市,3.0,37.0,122.0
5042,0.0,10.0,3.0,2020-02-14,天津市,3.0,31.0,120.0
5452,1.0,10.0,5.0,2020-02-13,天津市,3.0,21.0,117.0
5880,0.0,1.0,7.0,2020-02-12,天津市,2.0,11.0,112.0
6306,1.0,2.0,10.0,2020-02-11,天津市,2.0,10.0,105.0
6721,0.0,4.0,5.0,2020-02-10,天津市,1.0,8.0,95.0
7142,0.0,0.0,2.0,2020-02-09,天津市,1.0,4.0,90.0
7560,0.0,2.0,7.0,2020-02-08,天津市,1.0,4.0,88.0
7989,0.0,0.0,3.0,2020-02-07,天津市,1.0,2.0,81.0
8411,0.0,0.0,9.0,2020-02-06,天津市,1.0,2.0,78.0
8833,1.0,0.0,2.0,2020-02-05,天津市,1.0,2.0,69.0
9234,0.0,1.0,7.0,2020-02-04,天津市,0.0,2.0,67.0
9640,0.0,0.0,12.0,2020-02-03,天津市,0.0,1.0,60.0
10046,0.0,1.0,7.0,2020-02-02,天津市,0.0,1.0,48.0
10450,0.0,0.0,9.0,2020-02-01,天津市,0.0,0.0,41.0
10845,0.0,0.0,1.0,2020-01-31,天津市,0.0,0.0,32.0
11247,0.0,0.0,4.0,2020-01-30,天津市,0.0,0.0,31.0
11609,0.0,0.0,3.0,2020-01-29,天津市,0.0,0.0,27.0
11963,0.0,0.0,2.0,2020-01-28,天津市,0.0,0.0,24.0
12304,0.0,0.0,8.0,2020-01-27,天津市,0.0,0.0,22.0
12620,0.0,0.0,14.0,2020-01-26,天津市,0.0,0.0,14.0
0,0.0,0.0,0.0,2020-01-25,天津市,0.0,0.0,0.0
0,0.0,0.0,0.0,2020-01-24,天津市,0.0,0.0,0.0
64,0.0,37.0,75.0,2020-02-26,内蒙古自治区,0.0,37.0,75.0
0,0.0,0.0,0.0,2020-02-25,内蒙古自治区,0.0,0.0,0.0
836,0.0,7.0,0.0,2020-02-24,内蒙古自治区,0.0,34.0,75.0
1250,0.0,4.0,0.0,2020-02-23,内蒙古自治区,0.0,27.0,75.0
1679,0.0,6.0,0.0,2020-02-22,内蒙古自治区,0.0,23.0,75.0
2089,0.0,1.0,0.0,2020-02-21,内蒙古自治区,0.0,17.0,75.0
2514,0.0,6.0,0.0,2020-02-20,内蒙古自治区,0.0,16.0,75.0
2938,0.0,2.0,2.0,2020-02-19,内蒙古自治区,0.0,10.0,75.0
3365,0.0,0.0,1.0,2020-02-18,内蒙古自治区,0.0,8.0,73.0
3793,0.0,0.0,2.0,2020-02-17,内蒙古自治区,0.0,8.0,72.0
4217,0.0,1.0,2.0,2020-02-16,内蒙古自治区,0.0,8.0,70.0
4632,0.0,1.0,3.0,2020-02-15,内蒙古自治区,0.0,7.0,68.0
5058,0.0,0.0,4.0,2020-02-14,内蒙古自治区,0.0,6.0,65.0
5468,0.0,0.0,1.0,2020-02-13,内蒙古自治区,0.0,6.0,61.0
5896,0.0,6.0,60.0,2020-02-12,内蒙古自治区,0.0,6.0,60.0
0,0.0,0.0,0.0,2020-02-11,内蒙古自治区,0.0,0.0,0.0
6736,0.0,0.0,4.0,2020-02-10,内蒙古自治区,0.0,5.0,58.0
7157,0.0,0.0,2.0,2020-02-09,内蒙古自治区,0.0,5.0,54.0
7576,0.0,0.0,2.0,2020-02-08,内蒙古自治区,0.0,5.0,52.0
8005,0.0,1.0,4.0,2020-02-07,内蒙古自治区,0.0,5.0,50.0
8426,0.0,1.0,4.0,2020-02-06,内蒙古自治区,0.0,4.0,46.0
8846,0.0,2.0,7.0,2020-02-05,内蒙古自治区,0.0,3.0,42.0
9247,0.0,0.0,1.0,2020-02-04,内蒙古自治区,0.0,1.0,35.0
9652,0.0,0.0,7.0,2020-02-03,内蒙古自治区,0.0,1.0,34.0
10058,0.0,0.0,4.0,2020-02-02,内蒙古自治区,0.0,1.0,27.0
10462,0.0,0.0,3.0,2020-02-01,内蒙古自治区,0.0,1.0,23.0
10855,0.0,1.0,2.0,2020-01-31,内蒙古自治区,0.0,1.0,20.0
11256,0.0,0.0,2.0,2020-01-30,内蒙古自治区,0.0,0.0,18.0
11619,0.0,0.0,1.0,2020-01-29,内蒙古自治区,0.0,0.0,16.0
11972,0.0,0.0,4.0,2020-01-28,内蒙古自治区,0.0,0.0,15.0
12313,0.0,0.0,4.0,2020-01-27,内蒙古自治区,0.0,0.0,11.0
12627,0.0,0.0,0.0,2020-01-26,内蒙古自治区,0.0,0.0,7.0
12877,0.0,0.0,5.0,2020-01-25,内蒙古自治区,0.0,0.0,7.0
13079,0.0,0.0,2.0,2020-01-24,内蒙古自治区,0.0,0.0,2.0
75,0.0,31.0,0.0,2020-02-26,河南省,19.0,1033.0,1271.0
445,0.0,59.0,0.0,2020-02-25,河南省,19.0,1002.0,1271.0
847,0.0,75.0,0.0,2020-02-24,河南省,19.0,943.0,1271.0
1261,0.0,38.0,1.0,2020-02-23,河南省,19.0,868.0,1271.0
1690,0.0,94.0,3.0,2020-02-22,河南省,19.0,830.0,1270.0
2100,0.0,90.0,2.0,2020-02-21,河南省,19.0,736.0,1267.0
2525,0.0,73.0,3.0,2020-02-20,河南省,19.0,646.0,1265.0
2949,0.0,51.0,5.0,2020-02-19,河南省,19.0,573.0,1262.0
3376,2.0,13.0,11.0,2020-02-18,河南省,19.0,522.0,1257.0
3804,4.0,69.0,15.0,2020-02-17,河南省,17.0,509.0,1246.0
4228,0.0,49.0,19.0,2020-02-16,河南省,13.0,440.0,1231.0
4643,2.0,34.0,28.0,2020-02-15,河南省,13.0,391.0,1212.0
5069,1.0,61.0,15.0,2020-02-14,河南省,11.0,357.0,1184.0
5479,2.0,50.0,34.0,2020-02-13,河南省,10.0,296.0,1169.0
5907,1.0,28.0,30.0,2020-02-12,河南省,8.0,246.0,1135.0
6322,1.0,27.0,32.0,2020-02-11,河南省,7.0,218.0,1105.0
6747,0.0,38.0,40.0,2020-02-10,河南省,6.0,191.0,1073.0
7168,2.0,37.0,52.0,2020-02-09,河南省,6.0,153.0,1033.0
7587,1.0,30.0,67.0,2020-02-08,河南省,4.0,116.0,981.0
8016,1.0,30.0,63.0,2020-02-07,河南省,3.0,86.0,914.0
8437,0.0,6.0,87.0,2020-02-06,河南省,2.0,56.0,851.0
8857,0.0,23.0,89.0,2020-02-05,河南省,2.0,50.0,764.0
9258,0.0,11.0,109.0,2020-02-04,河南省,2.0,27.0,675.0
9663,0.0,6.0,73.0,2020-02-03,河南省,2.0,16.0,566.0
10069,0.0,7.0,71.0,2020-02-02,河南省,2.0,10.0,493.0
10472,0.0,0.0,70.0,2020-02-01,河南省,2.0,3.0,422.0
10865,0.0,1.0,74.0,2020-01-31,河南省,2.0,3.0,352.0
11265,0.0,1.0,72.0,2020-01-30,河南省,2.0,2.0,278.0
11628,1.0,1.0,38.0,2020-01-29,河南省,2.0,1.0,206.0
11992,0.0,0.0,40.0,2020-01-28,河南省,1.0,0.0,168.0
12331,0.0,0.0,45.0,2020-01-27,河南省,1.0,0.0,128.0
12632,1.0,0.0,51.0,2020-01-26,河南省,1.0,0.0,83.0
12882,0.0,0.0,23.0,2020-01-25,河南省,0.0,0.0,32.0
13080,0.0,0.0,9.0,2020-01-24,河南省,0.0,0.0,9.0
94,0.0,2.0,0.0,2020-02-26,广西壮族自治区,2.0,144.0,252.0
464,0.0,30.0,1.0,2020-02-25,广西壮族自治区,2.0,142.0,252.0
866,0.0,6.0,2.0,2020-02-24,广西壮族自治区,2.0,112.0,251.0
1280,0.0,2.0,0.0,2020-02-23,广西壮族自治区,2.0,106.0,249.0
1709,0.0,7.0,3.0,2020-02-22,广西壮族自治区,2.0,104.0,249.0
2119,0.0,7.0,1.0,2020-02-21,广西壮族自治区,2.0,97.0,246.0
2544,0.0,4.0,1.0,2020-02-20,广西壮族自治区,2.0,90.0,245.0
2968,0.0,17.0,2.0,2020-02-19,广西壮族自治区,2.0,86.0,244.0
3395,0.0,16.0,4.0,2020-02-18,广西壮族自治区,2.0,69.0,242.0
3823,0.0,4.0,1.0,2020-02-17,广西壮族自治区,2.0,53.0,238.0
4247,0.0,5.0,2.0,2020-02-16,广西壮族自治区,2.0,49.0,237.0
4662,0.0,8.0,9.0,2020-02-15,广西壮族自治区,2.0,44.0,235.0
5088,0.0,3.0,4.0,2020-02-14,广西壮族自治区,2.0,36.0,226.0
5498,1.0,1.0,0.0,2020-02-13,广西壮族自治区,2.0,33.0,222.0
5926,0.0,-1.0,7.0,2020-02-12,广西壮族自治区,1.0,32.0,222.0
6341,0.0,9.0,5.0,2020-02-11,广西壮族自治区,1.0,33.0,215.0
6766,0.0,6.0,15.0,2020-02-10,广西壮族自治区,1.0,24.0,210.0
7187,0.0,1.0,12.0,2020-02-09,广西壮族自治区,1.0,18.0,195.0
7608,1.0,0.0,11.0,2020-02-08,广西壮族自治区,1.0,17.0,183.0
8036,0.0,3.0,4.0,2020-02-07,广西壮族自治区,0.0,17.0,172.0
8457,0.0,1.0,18.0,2020-02-06,广西壮族自治区,0.0,14.0,168.0
8875,0.0,3.0,11.0,2020-02-05,广西壮族自治区,0.0,13.0,150.0
9276,0.0,3.0,12.0,2020-02-04,广西壮族自治区,0.0,10.0,139.0
9689,0.0,5.0,16.0,2020-02-03,广西壮族自治区,0.0,7.0,127.0
10091,0.0,0.0,11.0,2020-02-02,广西壮族自治区,0.0,2.0,111.0
10495,0.0,0.0,13.0,2020-02-01,广西壮族自治区,0.0,2.0,100.0
10886,0.0,0.0,9.0,2020-01-31,广西壮族自治区,0.0,2.0,87.0
11284,0.0,0.0,20.0,2020-01-30,广西壮族自治区,0.0,2.0,78.0
11646,0.0,0.0,7.0,2020-01-29,广西壮族自治区,0.0,2.0,58.0
12010,0.0,2.0,5.0,2020-01-28,广西壮族自治区,0.0,2.0,51.0
12348,0.0,0.0,10.0,2020-01-27,广西壮族自治区,0.0,0.0,46.0
12645,0.0,0.0,13.0,2020-01-26,广西壮族自治区,0.0,0.0,36.0
12893,0.0,0.0,10.0,2020-01-25,广西壮族自治区,0.0,0.0,23.0
13086,0.0,0.0,13.0,2020-01-24,广西壮族自治区,0.0,0.0,13.0
107,0.0,3.0,0.0,2020-02-26,陕西省,1.0,189.0,245.0
477,0.0,13.0,0.0,2020-02-25,陕西省,1.0,186.0,245.0
879,0.0,10.0,0.0,2020-02-24,陕西省,1.0,173.0,245.0
1293,0.0,14.0,0.0,2020-02-23,陕西省,1.0,163.0,245.0
1722,0.0,15.0,0.0,2020-02-22,陕西省,1.0,149.0,245.0
2132,0.0,16.0,0.0,2020-02-21,陕西省,1.0,134.0,245.0
2557,1.0,16.0,3.0,2020-02-20,陕西省,1.0,118.0,245.0
2981,0.0,13.0,2.0,2020-02-19,陕西省,0.0,102.0,242.0
3408,0.0,10.0,0.0,2020-02-18,陕西省,0.0,89.0,240.0
3836,0.0,8.0,4.0,2020-02-17,陕西省,0.0,79.0,240.0
4260,0.0,11.0,4.0,2020-02-16,陕西省,0.0,71.0,236.0
4676,0.0,6.0,2.0,2020-02-15,陕西省,0.0,60.0,232.0
5101,0.0,8.0,1.0,2020-02-14,陕西省,0.0,54.0,230.0
5512,0.0,3.0,4.0,2020-02-13,陕西省,0.0,46.0,229.0
5940,0.0,11.0,6.0,2020-02-12,陕西省,0.0,43.0,225.0
6355,0.0,2.0,6.0,2020-02-11,陕西省,0.0,32.0,219.0
6779,0.0,5.0,5.0,2020-02-10,陕西省,0.0,30.0,213.0
7201,0.0,5.0,13.0,2020-02-09,陕西省,0.0,25.0,208.0
7623,0.0,3.0,11.0,2020-02-08,陕西省,0.0,20.0,195.0
8050,0.0,8.0,11.0,2020-02-07,陕西省,0.0,17.0,184.0
8470,0.0,3.0,8.0,2020-02-06,陕西省,0.0,9.0,173.0
8887,0.0,4.0,23.0,2020-02-05,陕西省,0.0,6.0,165.0
9288,0.0,2.0,14.0,2020-02-04,陕西省,0.0,2.0,142.0
9701,0.0,0.0,12.0,2020-02-03,陕西省,0.0,0.0,128.0
10103,0.0,0.0,15.0,2020-02-02,陕西省,0.0,0.0,116.0
10506,0.0,0.0,14.0,2020-02-01,陕西省,0.0,0.0,101.0
10897,0.0,0.0,24.0,2020-01-31,陕西省,0.0,0.0,87.0
11295,0.0,0.0,7.0,2020-01-30,陕西省,0.0,0.0,63.0
11655,0.0,0.0,10.0,2020-01-29,陕西省,0.0,0.0,56.0
12019,0.0,0.0,11.0,2020-01-28,陕西省,0.0,0.0,46.0
12357,0.0,0.0,13.0,2020-01-27,陕西省,0.0,0.0,35.0
12654,0.0,0.0,7.0,2020-01-26,陕西省,0.0,0.0,22.0
12901,0.0,0.0,10.0,2020-01-25,陕西省,0.0,0.0,15.0
13092,0.0,0.0,5.0,2020-01-24,陕西省,0.0,0.0,5.0
119,0.0,29.0,0.0,2020-02-26,广东省,7.0,851.0,1347.0
490,1.0,36.0,2.0,2020-02-25,广东省,7.0,822.0,1347.0
891,0.0,31.0,3.0,2020-02-24,广东省,6.0,786.0,1345.0
1306,1.0,27.0,3.0,2020-02-23,广东省,6.0,755.0,1342.0
1735,0.0,38.0,6.0,2020-02-22,广东省,5.0,728.0,1339.0
2145,0.0,48.0,1.0,2020-02-21,广东省,5.0,690.0,1333.0
2570,0.0,36.0,1.0,2020-02-20,广东省,5.0,642.0,1332.0
2994,1.0,41.0,3.0,2020-02-19,广东省,5.0,606.0,1331.0
3421,0.0,41.0,6.0,2020-02-18,广东省,4.0,565.0,1328.0
3849,2.0,59.0,6.0,2020-02-17,广东省,4.0,524.0,1322.0
4273,0.0,55.0,22.0,2020-02-16,广东省,2.0,465.0,1316.0
4689,0.0,48.0,33.0,2020-02-15,广东省,2.0,410.0,1294.0
5114,0.0,48.0,20.0,2020-02-14,广东省,2.0,362.0,1261.0
5525,1.0,39.0,22.0,2020-02-13,广东省,2.0,314.0,1241.0
5953,0.0,63.0,42.0,2020-02-12,广东省,1.0,275.0,1219.0
6368,0.0,45.0,18.0,2020-02-11,广东省,1.0,212.0,1177.0
6792,0.0,26.0,28.0,2020-02-10,广东省,1.0,167.0,1159.0
7213,0.0,22.0,36.0,2020-02-09,广东省,1.0,141.0,1131.0
7635,0.0,31.0,61.0,2020-02-08,广东省,1.0,119.0,1095.0
8062,1.0,19.0,64.0,2020-02-07,广东省,1.0,88.0,1034.0
8482,0.0,20.0,75.0,2020-02-06,广东省,0.0,69.0,970.0
8899,0.0,19.0,82.0,2020-02-05,广东省,0.0,49.0,895.0
9300,0.0,9.0,88.0,2020-02-04,广东省,0.0,30.0,813.0
9712,0.0,6.0,93.0,2020-02-03,广东省,0.0,21.0,725.0
10114,0.0,1.0,97.0,2020-02-02,广东省,0.0,15.0,632.0
10517,0.0,-6.0,99.0,2020-02-01,广东省,0.0,14.0,535.0
10908,0.0,10.0,82.0,2020-01-31,广东省,0.0,20.0,436.0
11306,0.0,5.0,77.0,2020-01-30,广东省,0.0,10.0,354.0
11664,0.0,1.0,70.0,2020-01-29,广东省,0.0,5.0,277.0
12028,0.0,1.0,56.0,2020-01-28,广东省,0.0,4.0,207.0
12365,0.0,1.0,40.0,2020-01-27,广东省,0.0,3.0,151.0
12661,0.0,0.0,33.0,2020-01-26,广东省,0.0,2.0,111.0
12907,0.0,0.0,25.0,2020-01-25,广东省,0.0,2.0,78.0
13096,0.0,2.0,53.0,2020-01-24,广东省,0.0,2.0,53.0
140,0.0,59.0,0.0,2020-02-26,浙江省,1.0,867.0,1205.0
511,0.0,26.0,0.0,2020-02-25,浙江省,1.0,808.0,1205.0
912,0.0,22.0,0.0,2020-02-24,浙江省,1.0,782.0,1205.0
1327,0.0,41.0,0.0,2020-02-23,浙江省,1.0,760.0,1205.0
1756,0.0,40.0,2.0,2020-02-22,浙江省,1.0,719.0,1205.0
2166,0.0,46.0,28.0,2020-02-21,浙江省,1.0,679.0,1203.0
2591,1.0,29.0,1.0,2020-02-20,浙江省,1.0,633.0,1175.0
3015,0.0,69.0,2.0,2020-02-19,浙江省,0.0,604.0,1174.0
3442,0.0,28.0,1.0,2020-02-18,浙江省,0.0,535.0,1172.0
3870,0.0,51.0,4.0,2020-02-17,浙江省,0.0,507.0,1171.0
4294,0.0,28.0,5.0,2020-02-16,浙江省,0.0,456.0,1167.0
4710,0.0,25.0,7.0,2020-02-15,浙江省,0.0,428.0,1162.0
5135,0.0,43.0,10.0,2020-02-14,浙江省,0.0,403.0,1155.0
5546,0.0,39.0,14.0,2020-02-13,浙江省,0.0,360.0,1145.0
5974,0.0,51.0,14.0,2020-02-12,浙江省,0.0,321.0,1131.0
6389,0.0,28.0,25.0,2020-02-11,浙江省,0.0,270.0,1117.0
6813,0.0,41.0,17.0,2020-02-10,浙江省,0.0,242.0,1092.0
7234,0.0,26.0,27.0,2020-02-09,浙江省,0.0,201.0,1075.0
7658,0.0,52.0,42.0,2020-02-08,浙江省,0.0,175.0,1048.0
8082,0.0,29.0,52.0,2020-02-07,浙江省,0.0,123.0,1006.0
8503,0.0,16.0,59.0,2020-02-06,浙江省,0.0,94.0,954.0
8920,0.0,16.0,66.0,2020-02-05,浙江省,0.0,78.0,895.0
9320,0.0,19.0,105.0,2020-02-04,浙江省,0.0,62.0,829.0
9732,-1.0,11.0,63.0,2020-02-03,浙江省,0.0,43.0,724.0
10134,1.0,11.0,62.0,2020-02-02,浙江省,1.0,32.0,661.0
10537,0.0,7.0,61.0,2020-02-01,浙江省,0.0,21.0,599.0
10927,0.0,10.0,110.0,2020-01-31,浙江省,0.0,14.0,538.0
11325,0.0,1.0,132.0,2020-01-30,浙江省,0.0,4.0,428.0
11685,0.0,0.0,123.0,2020-01-29,浙江省,0.0,3.0,296.0
12046,0.0,2.0,45.0,2020-01-28,浙江省,0.0,3.0,173.0
12381,0.0,0.0,24.0,2020-01-27,浙江省,0.0,1.0,128.0
12676,0.0,0.0,42.0,2020-01-26,浙江省,0.0,1.0,104.0
12920,0.0,0.0,19.0,2020-01-25,浙江省,0.0,1.0,62.0
13107,0.0,1.0,43.0,2020-01-24,浙江省,0.0,1.0,43.0
153,0.0,6.0,0.0,2020-02-26,黑龙江省,12.0,249.0,480.0
523,0.0,16.0,0.0,2020-02-25,黑龙江省,12.0,243.0,480.0
924,0.0,5.0,0.0,2020-02-24,黑龙江省,12.0,227.0,480.0
1339,0.0,18.0,1.0,2020-02-23,黑龙江省,12.0,222.0,480.0
1768,0.0,29.0,0.0,2020-02-22,黑龙江省,12.0,204.0,479.0
2178,0.0,39.0,3.0,2020-02-21,黑龙江省,12.0,175.0,479.0
2602,0.0,16.0,6.0,2020-02-20,黑龙江省,12.0,136.0,476.0
3026,1.0,9.0,6.0,2020-02-19,黑龙江省,12.0,120.0,470.0
3453,0.0,26.0,7.0,2020-02-18,黑龙江省,11.0,111.0,464.0
3881,0.0,6.0,12.0,2020-02-17,黑龙江省,11.0,85.0,457.0
