,日期,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡
0,2020-02-26,湖北省,65187,20957,2615,武汉,370,1456,42,47441,11824,2085
1,2020-02-26,湖北省,65187,20957,2615,孝感,19,60,3,3501,1388,113
2,2020-02-26,湖北省,65187,20957,2615,黄冈,0,72,1,2904,1852,107
3,2020-02-26,湖北省,65187,20957,2615,鄂州,2,41,0,1387,543,41
4,2020-02-26,湖北省,65187,20957,2615,荆州,1,41,2,1577,822,44
5,2020-02-26,湖北省,65187,20957,2615,随州,1,51,1,1306,652,37
6,2020-02-26,湖北省,65187,20957,2615,宜昌,1,15,1,927,362,30
7,2020-02-26,湖北省,65187,20957,2615,襄阳,0,60,0,1175,653,30
8,2020-02-26,湖北省,65187,20957,2615,荆门,2,37,0,922,469,37
9,2020-02-26,湖北省,65187,20957,2615,黄石,3,24,1,1011,592,32
10,2020-02-26,湖北省,65187,20957,2615,十堰,0,31,0,671,348,3
11,2020-02-26,湖北省,65187,20957,2615,咸宁,0,63,0,836,567,11
12,2020-02-26,湖北省,65187,20957,2615,仙桃,0,21,0,575,337,19
13,2020-02-26,湖北省,65187,20957,2615,天门,1,4,0,496,286,13
14,2020-02-26,湖北省,65187,20957,2615,潜江,1,3,1,196,94,9
15,2020-02-26,湖北省,65187,20957,2615,恩施州,0,7,0,251,158,4
16,2020-02-26,湖北省,65187,20957,2615,神农架林区,0,0,0,11,10,0
17,2020-02-26,山东省,756,377,6,济宁,0,8,0,258,43,0
18,2020-02-26,山东省,756,377,6,济南,0,1,0,47,25,0
19,2020-02-26,山东省,756,377,6,烟台,0,3,0,47,26,0
20,2020-02-26,山东省,756,377,6,青岛,0,1,0,60,39,1
21,2020-02-26,山东省,756,377,6,潍坊,0,0,0,44,24,0
22,2020-02-26,山东省,756,377,6,德州,0,0,0,37,15,2
23,2020-02-26,山东省,756,377,6,威海,0,0,0,38,27,0
24,2020-02-26,山东省,756,377,6,淄博,0,2,0,30,18,1
25,2020-02-26,山东省,756,377,6,泰安,0,1,0,35,23,2
26,2020-02-26,山东省,756,377,6,聊城,0,2,0,38,30,0
27,2020-02-26,山东省,756,377,6,日照,0,0,0,16,11,0
