,日期,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡
84,2020-02-18,四川省,508,165,3,阿坝州,0,0,0,1,1,0
85,2020-02-18,四川省,508,165,3,待明确地区,0,0,0,0,0,2
86,2020-02-18,陕西省,240,81,0,西安,0,0,0,117,37,0
87,2020-02-18,陕西省,240,81,0,汉中,0,2,0,25,4,0
88,2020-02-18,陕西省,240,81,0,安康,0,0,0,25,7,0
89,2020-02-18,陕西省,240,81,0,渭南,0,0,0,15,3,0
90,2020-02-18,陕西省,240,81,0,咸阳,0,0,0,17,6,0
91,2020-02-18,陕西省,240,81,0,商洛,0,0,0,7,2,0
92,2020-02-18,陕西省,240,81,0,宝鸡,0,0,0,13,9,0
93,2020-02-18,陕西省,240,81,0,铜川,0,0,0,8,4,0
94,2020-02-18,陕西省,240,81,0,延安,0,0,0,8,6,0
95,2020-02-18,陕西省,240,81,0,榆林,0,0,0,3,1,0
96,2020-02-18,陕西省,240,81,0,杨凌,0,0,0,1,0,0
97,2020-02-18,陕西省,240,81,0,韩城,0,0,0,1,1,0
98,2020-02-18,陕西省,240,81,0,待明确地区,0,0,0,0,1,0
99,2020-02-18,上海市,333,177,1,外地来沪人员,1,0,0,110,59,1
100,2020-02-18,上海市,333,177,1,浦东新区,0,0,0,60,33,0
101,2020-02-18,上海市,333,177,1,宝山区,0,0,0,21,7,0
102,2020-02-18,上海市,333,177,1,徐汇区,0,0,0,18,6,0
103,2020-02-18,上海市,333,177,1,松江区,0,0,0,14,5,0
104,2020-02-18,上海市,333,177,1,奉贤区,0,0,0,9,1,0
105,2020-02-18,上海市,333,177,1,闵行区,0,0,0,18,11,0
106,2020-02-18,上海市,333,177,1,静安区,0,0,0,16,9,0
107,2020-02-18,上海市,333,177,1,普陀区,0,0,0,11,4,0
108,2020-02-18,上海市,333,177,1,嘉定区,0,0,0,9,2,0
109,2020-02-18,上海市,333,177,1,杨浦区,0,0,0,9,3,0
110,2020-02-18,上海市,333,177,1,长宁区,0,0,0,13,8,0
111,2020-02-18,上海市,333,177,1,黄浦区,0,0,0,6,2,0
112,2020-02-18,上海市,333,177,1,崇明区,0,0,0,4,0,0
113,2020-02-18,上海市,333,177,1,虹口区,0,0,0,7,4,0
114,2020-02-18,上海市,333,177,1,金山区,0,0,0,3,2,0
115,2020-02-18,上海市,333,177,1,青浦区,0,0,0,5,5,0
116,2020-02-18,上海市,333,177,1,待明确地区,0,-5,0,0,16,0
117,2020-02-18,安徽省,982,320,6,蚌埠,0,8,0,158,21,5
118,2020-02-18,安徽省,982,320,6,合肥,2,1,0,173,50,1
119,2020-02-18,安徽省,982,320,6,阜阳,1,0,0,154,41,0
120,2020-02-18,安徽省,982,320,6,亳州,0,12,0,108,47,0
121,2020-02-18,安徽省,982,320,6,六安,0,2,0,68,23,0
122,2020-02-18,安徽省,982,320,6,安庆,0,5,0,83,39,0
123,2020-02-18,安徽省,982,320,6,宿州,1,2,0,41,17,0
124,2020-02-18,安徽省,982,320,6,马鞍山,0,2,0,36,14,0
125,2020-02-18,安徽省,982,320,6,淮南,2,0,0,27,8,0
126,2020-02-18,安徽省,982,320,6,铜陵,1,1,0,29,12,0
127,2020-02-18,安徽省,982,320,6,芜湖,2,4,0,33,17,0
128,2020-02-18,安徽省,982,320,6,淮北,0,1,0,27,11,0
129,2020-02-18,安徽省,982,320,6,池州,0,0,0,17,6,0
130,2020-02-18,安徽省,982,320,6,滁州,0,0,0,13,7,0
131,2020-02-18,安徽省,982,320,6,黄山,0,2,0,9,3,0
132,2020-02-18,安徽省,982,320,6,宣城,0,0,0,6,4,0
133,2020-02-18,安徽省,982,320,6,待明确地区,0,-8,0,0,3,0
134,2020-02-18,湖南省,1007,503,4,长沙,0,0,1,241,92,2
135,2020-02-18,湖南省,1007,503,4,岳阳,1,1,0,155,64,1
136,2020-02-18,湖南省,1007,503,4,常德,0,0,0,79,34,0
137,2020-02-18,湖南省,1007,503,4,株洲,0,0,0,78,35,0
138,2020-02-18,湖南省,1007,503,4,娄底,0,0,0,76,35,0
139,2020-02-18,湖南省,1007,503,4,邵阳,0,0,0,101,67,1
140,2020-02-18,湖南省,1007,503,4,益阳,0,1,0,59,31,0
141,2020-02-18,湖南省,1007,503,4,衡阳,0,0,0,48,28,0
142,2020-02-18,湖南省,1007,503,4,湘潭,0,1,0,35,16,0
143,2020-02-18,湖南省,1007,503,4,永州,0,0,0,43,30,0
144,2020-02-18,湖南省,1007,503,4,郴州,0,0,0,39,26,0
145,2020-02-18,湖南省,1007,503,4,怀化,0,2,0,40,34,0
146,2020-02-18,湖南省,1007,503,4,湘西自治州,0,0,0,8,6,0
147,2020-02-18,湖南省,1007,503,4,张家界,0,0,0,5,5,0
148,2020-02-18,广西壮族自治区,242,63,2,南宁,3,0,0,54,16,0
149,2020-02-18,广西壮族自治区,242,63,2,北海,1,1,0,44,10,1
150,2020-02-18,广西壮族自治区,242,63,2,河池,0,0,0,22,0,1
151,2020-02-18,广西壮族自治区,242,63,2,防城港,0,0,0,18,1,0
152,2020-02-18,广西壮族自治区,242,63,2,桂林,0,5,0,31,15,0
153,2020-02-18,广西壮族自治区,242,63,2,柳州,0,0,0,24,8,0
154,2020-02-18,广西壮族自治区,242,63,2,来宾,0,0,0,11,0,0
155,2020-02-18,广西壮族自治区,242,63,2,钦州,0,0,0,8,1,0
156,2020-02-18,广西壮族自治区,242,63,2,玉林,0,3,0,10,4,0
157,2020-02-18,广西壮族自治区,242,63,2,贵港,0,1,0,8,3,0
158,2020-02-18,广西壮族自治区,242,63,2,贺州,0,0,0,4,0,0
159,2020-02-18,广西壮族自治区,242,63,2,百色,0,0,0,3,0,0
160,2020-02-18,广西壮族自治区,242,63,2,梧州,0,0,0,5,5,0
